source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Maria luisa Colledani,"Veronica Yoko Plebani, un argento dedicato all’amicizia","Veronica Yoko Plebani conquista l’argento della gara di triathlon PTS2, facendosi precedere solo dall’americana Danz e migliorando il bronzo conquistato a Tokyo.Una gioia immensa: “Ancora non ci credo - dice...",https://www.ilsole24ore.com/art/veronica-yoko-plebani-argento-dedicato-all-amicizia-AFoHjPfD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/03/Immagini/Ritagli/20240902_105030-k7yE--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T10:15:53Z,"Ascolta la versione audio dell'articolo
1' di lettura
Veronica Yoko Plebani conquista largento della gara di triathlon PTS2, facendosi precedere solo dallamericana Danz e migliorando il bronzo conq… [+931 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"La corsa delle palestre, tra sensi di colpa e offerte personalizzate","Cresce del 20% in dieci anni il numero di esercizi, tra brand esclusivi e catene low cost",https://torino.repubblica.it/cronaca/2024/09/02/news/palestre_crescita_offerte_personalizzate-423474654/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/120914210-a3df3dbf-9d0a-4437-8f0d-8afdcbf2ad07.jpg,2024-09-02T10:09:46Z,ANSA/GEDI/JESSICA PASQUALON
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Gianluca Di Donfrancesco,"Chi è Sahra Wagenknecht, l’astro rosso-bruno che sogna in grande","Il suo partito è la vera novità delle elezioni in Sassonia e Turingia, ma le sue posizioni su Nato, Ucraina e immigrazione somigliano a quelle dell’ultradestra",https://www.ilsole24ore.com/art/chi-e-sahra-wagenknecht-l-astro-rosso-bruno-che-sogna-grande-AF0QpKfD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/03/Immagini/Ritagli/c29aa8287a3c59aeb75afda989ac5ad7-U57216031148EZw-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T09:22:58Z,"Ascolta la versione audio dell'articolo
3' di lettura
Sahra Wagenknecht è la vera novità delle elezioni in Sassonia e Turingia, dove il partito che porta il suo nome va in doppia cifra e potrebbe e… [+2086 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),Oggi riapre la metro. Torino riparte con un settembre affollato di eventi,"Nuove telecamere e interventi sulle stazioni. In agenda MiTo, Italian Tech Week, Terra Madre e torna la Champions. Si rianimano anche scuole e asili in vista del nuovo anno",https://torino.repubblica.it/cronaca/2024/09/02/news/riapre_metro_settembre-423474521/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/112018490-9c544213-3aae-49bd-b9e7-3fb10921c93e.jpg,2024-09-02T09:20:21Z,"Torino riparte dopo la lunga estate: da oggi la metropolitana torna al consueto orario. Le scuole iniziano lattività, anche se la prima campanella è prevista per mercoledì 11 settembre. Nidi e scuole… [+1853 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),Una cinghia stretta attorno al collo per farsi consegnare soldi e gioielli: così un rapinatore è diventato l’incubo degli anziani,I carabinieri hanno acquisito i filmati delle telecamere per dare un nome al malvivente che aggredisce le vittime strangolandole,https://torino.repubblica.it/cronaca/2024/09/02/news/rapinatore_strangola_anziani-423474509/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/111240610-3fd9f406-55d1-4ec1-862e-f35062be3b53.jpg,2024-09-02T09:12:42Z,"Sorpresi per strada e aggrediti alle spalle con una cintura stretta attorno al collo per obbligarli a consegnare soldi, orologi, gioielli e telefonino. È diventato il terrore degli anziani luomo che … [+684 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Antonio Calabrò,Madre di silenzi e appassionate conversazioni,"L’isola è donna, fertile e accogliente. Il suo nome sa di mare, si fa metafora d’altro, come tutto in Sicilia. Qui l’arte di immaginare e chiacchierare, con i riverberi del non detto, serve a costruire idee di società e adultità migliori. Come sapeva il princ…",https://www.ilsole24ore.com/art/madre-silenzi-e-appassionate-conversazioni-AFIufCYD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/salina-kh8--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T08:49:43Z,"Ne erano maestri i fratelli Paolo e Vittorio Taviani, nella loro casa a metà della costa sopra il mare di Lingua o come ospiti benvoluti di tante altre terrazze, come quella di Lella Artesi, a Leni, … [+2360 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"Cambio ai vertici dell’Inps, in Piemonte arriva Ciriaco","Il dirigente completa un percorso di crescita 
   nell’istituto previdenziale iniziato da Moncalieri",https://torino.repubblica.it/cronaca/2024/09/02/news/vincenzo_ciriaco_inps_piemonte-423474461/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/104117822-ba7f06da-5a97-46f0-8da1-581ad12da971.jpg,2024-09-02T08:41:52Z,"Cambio al vertice alla Direzione Regionale Inps del Piemonte. Dallinizio di agosto, infatti, Vincenzo Ciriaco è il nuovo direttore regionale dellInps del Piemonte. Laureato in Giurisprudenza presso l… [+224 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),Il Piemonte sbanca i Fondi europei. In 25 anni finanziati 200 mila progetti,"È la prima regione in Italia. Sono stati investiti in totale oltre 21 miliardi, di cui il 54% con denaro Ue nei settori più diversi, dall’ambiente alla salute",https://torino.repubblica.it/cronaca/2024/09/02/news/piemonte_fondi_europei_progetti-423474452/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/103350069-9aad941d-2fb9-4624-b0a9-192a19411240.jpg,2024-09-02T08:33:57Z,"Hanno consentito di finanziare il progetto Piquet e realizzare un centro per le tecnologie quantistiche e la nano-fabbricazione a disposizione delle imprese, coordinato dallIstituto Nazionale di Rice… [+173 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),Autunno di sfide tra crisi industriali e nuove strategie,I 12 miliardi di euro in arrivo tra Pnrr e fondi Ue daranno una forte spinta agli investimenti ma non cancellano i timori per le imprese,https://torino.repubblica.it/cronaca/2024/09/02/news/autunno_economia_piemonte-423474444/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/102459370-e3f2cfc4-4d98-41a0-920c-b42a04ff6dfd.jpg,2024-09-02T08:26:29Z,"Autunno economico impegnativo per il Piemonte. Molte incertezze allorizzonte per linstabilità internazionale. Il Pil dovrebbe crescere, secondo più centri studi, ma sotto all1%. Le imprese devono dec… [+65 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"Evelina Christillin: “La rivoluzione francese vista dai suoi protagonisti, oggi nessun politico è così”","La dirigente sportiva di Uefa e Fifa legge il volume di Hilary Mantel, che trasforma Robespierre, Danton e Desmoulins in gente di casa",https://torino.repubblica.it/cronaca/2024/09/02/news/evelina_christillin_libro_estate-423474421/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/102006417-3848c181-eb3a-49d7-bab2-88e05c542800.jpg,2024-09-02T08:20:18Z,L'ascolto è riservato agli abbonati premium
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"Monopattino elettrico prende fuoco durante la ricarica in casa, il rogo distrugge l’appartamento","Nessuna persona coinvolta, la casa è inagibile",https://torino.repubblica.it/cronaca/2024/09/02/news/monopattino_elettrico_ricarica_incendio-423474360/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/093635820-199b3e35-e355-4ffb-ac1f-672f27c763ba.jpg,2024-09-02T07:38:02Z,"Intervento all'alba di questa mattina dei vigili del fuoco, per un incendio scoppiato intorno alle 5 in un alloggio in via Baracca, nel quartiere di Borgo Dora, alla periferia di Torino. Secondo una … [+167 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Enrico Marro,"Non solo Lego: viaggio nel cuore dello Jutland tra fiordi, castelli e design","Collegata da tutta Italia con voli Ryanair, Billund e la regione di Trekanten offrono il meglio della Danimarca: natura mozzafiato, storia millenaria, architettura, food. Oltre ai mitici mattoncini colorati",https://www.ilsole24ore.com/art/non-solo-lego-viaggio-cuore-jutland-fiordi-castelli-e-design-AFzynQeD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/02/Immagini/Ritagli/l-U21087557065fLM-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T07:15:55Z,"Entrambi sono visibili dalla torre del nuovo Zleep Hotel, aperto nel 2022 su undici piani e dotato di camere con una vista mozzafiato sullarea del porto.
Piccola perla sul rapporto dei danesi con st… [+2311 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Cristina Battocletti,Scandalosa scoperta del piacere femminile,"Fino ad ora solo film di buona fattura, con tante star, ma niente di eccezionale. La cosa nuova è il ribaltamento dei canoni della sessualità, che vuole protagoniste donne di potere con giovani uomini",https://www.ilsole24ore.com/art/scandalosa-scoperta-piacere-femminile-AFCDvzYD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/BABYGIRL-k6JI--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T07:08:57Z,"Ascolta la versione audio dell'articolo
5' di lettura
Il primo dato sensibile è che in questa prima parte dell81esima edizione della Mostra del cinema di Venezia non ci sono film che possano segnar… [+5231 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Maria Luisa Colledani,"Mettetevi comodi, qui si fa il teatro","All’Ara Pacis una mostra racconta, attraverso 240 reperti, la storia di autori e opere, famosi e meno (come la mima Bassilla), dagli inizi col canto per Dioniso, fino a Plauto e Menandro, e i mille edifici costruiti in un millennio",https://www.ilsole24ore.com/art/mettetevi-comodi-qui-si-fa-teatro-AFuis9SD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/6.-kQLD--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T07:06:07Z,"Ascolta la versione audio dell'articolo
4' di lettura
Mettetevi comodi, prendetevi del tempo perché la mostra sul teatro nellantichità allAra Pacis di Roma è un lungo viaggio, dove letteratura, cos… [+5668 chars]"
